asset_id,asset_type,owner_team,region,sensitivity,has_pii,has_phi,encryption,internet_exposed,identity_plane,created_date,retention_days
a000,warehouse,data,ap-south,confidential,True,False,at_rest,False,iam_workload,2024-04-06,180
a001,object_store,platform,us-west,confidential,True,False,both,False,iam_workload,2025-09-30,180
a002,warehouse,platform,us-west,public,False,False,none,False,entra_okta,2025-04-20,365
a003,warehouse,payments,us-east,internal,False,False,in_transit,False,api_gateway,2024-10-11,365
a004,warehouse,platform,eu-west,confidential,True,False,at_rest,False,entra_okta,2025-02-14,180
a005,saas,data,us-west,internal,False,False,none,False,iam_workload,2024-02-23,365
a006,vector_db,data,ap-south,confidential,True,False,at_rest,False,entra_okta,2024-11-14,180
a007,queue,platform,us-east,internal,False,False,at_rest,False,api_gateway,2025-05-13,365
a008,warehouse,payments,ap-south,internal,False,False,at_rest,False,api_gateway,2025-01-27,365
a009,queue,payments,us-west,internal,False,False,in_transit,False,service_mesh,2024-01-21,365
a010,queue,ops,us-west,internal,False,False,none,False,service_mesh,2024-01-10,365
a011,saas,ml,ap-south,restricted,True,True,at_rest,True,api_gateway,2024-05-10,90
a012,queue,ops,us-east,restricted,False,True,at_rest,False,iam_workload,2024-07-13,90
a013,vector_db,ops,us-east,internal,False,False,both,False,api_gateway,2024-02-18,365
a014,db,ops,eu-west,internal,False,False,at_rest,False,api_gateway,2025-09-02,365
a015,warehouse,payments,us-west,confidential,True,False,both,False,entra_okta,2024-10-13,180
a016,object_store,salesops,us-west,internal,False,False,none,False,entra_okta,2024-02-17,365
a017,saas,ops,us-east,internal,False,False,none,False,service_mesh,2025-06-18,365
a018,object_store,ops,us-west,confidential,False,False,both,False,entra_okta,2024-01-22,180
a019,db,data,us-west,confidential,False,False,in_transit,True,api_gateway,2025-07-13,180
a020,db,salesops,us-east,internal,False,False,in_transit,False,entra_okta,2025-03-03,365
a021,db,data,us-west,restricted,True,False,none,False,entra_okta,2024-09-20,90
a022,vector_db,ml,ap-south,restricted,False,False,both,False,entra_okta,2025-06-15,90
a023,db,ml,us-west,restricted,True,True,none,False,api_gateway,2024-09-18,90
a024,saas,ml,us-east,restricted,True,True,at_rest,False,api_gateway,2025-05-25,90
a025,saas,data,eu-west,restricted,True,False,at_rest,False,service_mesh,2024-08-02,90
a026,queue,ml,us-west,internal,False,False,none,False,iam_workload,2024-04-25,365
a027,saas,payments,ap-south,confidential,True,False,both,False,api_gateway,2024-11-24,180
a028,db,ml,us-west,public,False,False,in_transit,False,entra_okta,2024-05-19,365
a029,object_store,platform,eu-west,confidential,True,False,at_rest,False,entra_okta,2025-04-02,180
a030,warehouse,salesops,eu-west,internal,False,False,none,False,api_gateway,2024-09-19,365
a031,db,data,us-west,internal,False,False,at_rest,False,iam_workload,2025-02-06,365
a032,vector_db,payments,us-west,restricted,True,False,both,True,entra_okta,2025-01-20,90
a033,vector_db,ops,eu-west,confidential,True,False,at_rest,False,entra_okta,2024-08-06,180
a034,queue,platform,eu-west,internal,False,False,in_transit,False,entra_okta,2024-12-22,365
a035,db,data,eu-west,confidential,True,False,in_transit,False,entra_okta,2025-03-15,180
a036,object_store,ops,eu-west,restricted,True,False,both,False,api_gateway,2025-05-19,90
a037,vector_db,platform,us-east,confidential,True,False,in_transit,False,iam_workload,2025-06-19,180
a038,warehouse,ml,eu-west,confidential,True,False,at_rest,False,service_mesh,2025-08-09,180
a039,queue,ops,us-west,confidential,True,False,both,True,api_gateway,2025-07-11,180
a040,warehouse,platform,ap-south,restricted,True,True,both,False,api_gateway,2024-10-02,90
a041,queue,payments,eu-west,internal,False,False,both,False,api_gateway,2025-06-21,365
a042,object_store,data,us-west,internal,False,False,in_transit,False,entra_okta,2024-02-06,365
a043,object_store,platform,eu-west,internal,False,False,in_transit,False,api_gateway,2024-04-17,365
a044,warehouse,platform,eu-west,confidential,False,False,both,True,iam_workload,2025-07-05,180
a045,vector_db,ops,us-east,internal,False,False,at_rest,False,iam_workload,2024-08-26,365
a046,vector_db,ml,us-east,restricted,True,True,at_rest,False,entra_okta,2024-05-17,90
a047,object_store,salesops,us-west,restricted,True,True,both,False,iam_workload,2025-02-16,90
a048,db,platform,us-east,confidential,True,False,in_transit,False,entra_okta,2025-06-01,180
a049,saas,ops,us-east,confidential,False,False,both,True,api_gateway,2024-05-30,180
a050,db,payments,us-east,internal,False,False,at_rest,False,entra_okta,2025-08-16,365
a051,vector_db,data,us-west,public,False,False,none,False,service_mesh,2025-03-16,365
a052,saas,platform,us-west,internal,False,False,at_rest,False,service_mesh,2025-02-19,365
a053,warehouse,payments,us-west,restricted,True,True,none,False,api_gateway,2025-08-06,90
a054,warehouse,ops,eu-west,confidential,False,False,in_transit,False,iam_workload,2025-02-19,180
a055,saas,ops,eu-west,internal,False,False,both,False,iam_workload,2024-03-13,365
a056,saas,data,us-west,restricted,True,False,none,False,service_mesh,2024-12-11,90
a057,queue,ops,us-east,internal,False,False,none,False,iam_workload,2024-05-02,365
a058,warehouse,platform,us-west,restricted,True,False,in_transit,False,iam_workload,2025-01-19,90
a059,saas,ml,eu-west,public,False,False,in_transit,False,entra_okta,2025-03-31,365
a060,db,ops,us-west,restricted,True,False,both,False,api_gateway,2025-07-08,90
a061,db,data,ap-south,confidential,True,False,both,False,service_mesh,2025-05-09,180
a062,warehouse,ml,eu-west,confidential,True,False,at_rest,False,api_gateway,2025-02-03,180
a063,saas,salesops,ap-south,public,False,False,none,False,service_mesh,2024-03-16,365
a064,object_store,data,ap-south,restricted,True,False,none,False,api_gateway,2024-05-27,90
a065,object_store,ops,us-west,restricted,True,False,none,False,iam_workload,2024-05-07,90
a066,object_store,salesops,ap-south,internal,False,False,both,False,api_gateway,2025-01-07,365
a067,warehouse,payments,eu-west,restricted,False,True,none,False,service_mesh,2024-10-08,90
a068,vector_db,salesops,us-east,internal,False,False,in_transit,False,iam_workload,2025-05-29,365
a069,object_store,salesops,us-west,restricted,True,True,in_transit,False,entra_okta,2024-08-15,90
a070,db,platform,us-east,confidential,True,False,in_transit,False,service_mesh,2024-12-17,180
a071,object_store,platform,us-west,confidential,True,False,at_rest,False,api_gateway,2024-06-03,180
a072,vector_db,ops,eu-west,internal,False,False,in_transit,False,iam_workload,2025-03-13,365
a073,warehouse,platform,ap-south,confidential,False,False,none,False,api_gateway,2025-04-19,180
a074,db,platform,eu-west,internal,False,False,at_rest,False,service_mesh,2025-05-21,365
